Location_Renamed,Location,Type_1,Type_2,Quarter,GDP_Quarterly
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q1,108500000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q2,104730468.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q3,103093750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2020Q4,103285156.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q1,105000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q2,107933593.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q3,111781250
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2021Q4,116238281.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q1,121000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q2,125761718.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q3,130218750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2022Q4,134066406.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q1,137000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q2,138816406.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q3,139718750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2023Q4,140011718.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q1,140000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q2,139988281.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q3,140281250
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2024Q4,141183593.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q1,143000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q2,146035156.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q3,150593750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,"Agriculture, forestry, and fishing","Agriculture, forestry, and fishing",2025Q4,156980468.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2020Q1,274500000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2020Q2,275730468.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2020Q3,279093750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2020Q4,284285156.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2021Q1,291000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2021Q2,298933593.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2021Q3,307781250
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2021Q4,317238281.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2022Q1,327000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2022Q2,336761718.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2022Q3,346218750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2022Q4,355066406.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2023Q1,363000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2023Q2,369816406.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2023Q3,375718750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2023Q4,381011718.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2024Q1,386000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2024Q2,390988281.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2024Q3,396281250
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2024Q4,402183593.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2025Q1,409000000
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2025Q2,417035156.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2025Q3,426593750
Autonomous Region in Muslim Mindanao (ARMM),ARMM,All,All,2025Q4,437980468.8
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2020Q1,3379038
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2020Q2,3072604.063
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2020Q3,2864027.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2020Q4,2739328.688
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2021Q1,2684528
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2021Q2,2685645.813
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2021Q3,2728702.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2021Q4,2799718.438
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2022Q1,2884714
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2022Q2,2969709.563
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2022Q3,3040725.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2022Q4,3083782.188
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2023Q1,3084900
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2023Q2,3034759.188
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2023Q3,2942679.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2023Q4,2822640.563
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2024Q1,2688622
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2024Q2,2554603.438
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2024Q3,2434564.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2024Q4,2342484.813
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2025Q1,2292344
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2025Q2,2298121.688
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2025Q3,2373797.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,01. Mining and quarrying,2025Q4,2533351.063
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2020Q1,28143712.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2020Q2,29136930.46
